district,sector,urban_rural,is_near_cbd,house_type,compound_type,num_bedrooms,floor_area_sqm,wall_material,floor_material,roof_material,has_electricity,has_piped_water,has_indoor_toilet,has_kitchen,has_parking,has_fence,has_lightning_rod,has_security_guard,has_water_tank,has_backup_generator,is_furnished,has_sofa,has_beds_mattresses,has_wardrobe,has_dining_set,has_tv,has_fridge,has_washing_machine,has_air_conditioning,has_internet_wifi,distance_to_cbd_km,road_access,num_rooms_total,rental_type,num_days,monthly_rent_rwf,data_source,generated_date
Gasabo,Bumbogo,rural,0,standalone,standalone_open,1,28.6,mud_brick,cement,iron_sheet,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,footpath,3,monthly,30,50000,synthetic_nisr_calibrated,2026-07-13
Gasabo,Jabana,rural,0,standalone,standalone_fenced,2,50.2,mud_brick,earth,iron_sheet,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,15.0,murram,5,monthly,30,105000,synthetic_nisr_calibrated,2026-07-13
Gasabo,Kacyiru,urban,1,standalone,apartment_block,3,63.7,mixed,tiles,iron_sheet,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2.7,tarmac,5,monthly,30,222000,synthetic_nisr_calibrated,2026-07-13
Gasabo,Rusororo,rural,0,standalone,standalone_open,3,78.2,mud_brick,earth,grass,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.2,murram,6,monthly,30,61000,synthetic_nisr_calibrated,2026-07-13
Gasabo,Shyorongi,rural,0,shared_compound,standalone_fenced,1,27.3,mixed,earth,iron_sheet,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,19.6,murram,4,monthly,30,31000,synthetic_nisr_calibrated,2026-07-13
Gasabo,Bumbogo,rural,0,shared_compound,ghetto,1,22.8,mud_brick,earth,iron_sheet,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,14.5,footpath,2,monthly,30,39000,synthetic_nisr_calibrated,2026-07-13
Gasabo,Gatsata,urban,1,apartment,standalone_open,3,85.9,brick,tiles,grass,1,1,1,1,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,3.0,tarmac,4,monthly,30,287000,synthetic_nisr_calibrated,2026-07-13
Gasabo,Remera,urban,1,standalone,apartment_block,2,53.5,concrete,tiles,concrete,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.4,tarmac,3,monthly,30,176000,synthetic_nisr_calibrated,2026-07-13
Gasabo,Gatsata,urban,0,standalone,standalone_fenced,1,18.0,mud_brick,cement,tiles,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,5.1,tarmac,3,monthly,30,152000,synthetic_nisr_calibrated,2026-07-13
Gasabo,Remera,urban,1,standalone,gated_community,2,42.7,concrete,tiles,concrete,1,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,3.0,tarmac,4,monthly,30,283000,synthetic_nisr_calibrated,2026-07-13
Gasabo,Remera,urban,1,apartment,apartment_block,2,53.2,brick,cement,iron_sheet,1,1,1,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,1,0,1.0,tarmac,3,weekly,14,167000,synthetic_nisr_calibrated,2026-07-13
Gasabo,Kacyiru,urban,1,apartment,apartment_block,2,36.4,mixed,wood,tiles,0,1,1,1,0,0,0,0,1,0,0,1,0,1,1,1,1,1,0,1,1.9,tarmac,4,monthly,30,247000,synthetic_nisr_calibrated,2026-07-13
